Condition,CFU,logCFU,Date
MO.0,90000,4.954242509,20111101
MO.0,76000,4.880813592,20111101
MO.0,70000,4.84509804,20111101
MO.0,66000,4.819543936,20111101
MO.0,60000,4.77815125,20111101
MO.0,48000,4.681241237,20111101
MO.0,44000,4.643452676,20111101
MO.1,220000,5.342422681,20210119
MO.1,180000,5.255272505,20210119
MO.1,140000,5.146128036,20210119
MO.1,120000,5.079181246,20210119
MO.1,62000,4.792391689,20210119
MO.1,48000,4.681241237,20210119
MO.1,46000,4.662757832,20210119
MO.1,38000,4.579783597,20210119
MO.1,34000,4.531478917,20210119
MO.1,32000,4.505149978,20210119
MO.1,30000,4.477121255,20210119
MO.1,28000,4.447158031,20210119
MO.1,20000,4.301029996,20210119
MO.1,18000,4.255272505,20210119
MO.1,18000,4.255272505,20210119
MO.1,16000,4.204119983,20210119
MO.1,4400,3.643452676,20210119
MO.1,3600,3.556302501,20210119
MO.1,3200,3.505149978,20210119
MO.1,2000,3.301029996,20210119
MO.1,1400,3.146128036,20210119
MO.1,800,2.903089987,20210119
MO.1,600,2.77815125,20210119
MO.1,200,2.301029996,20210119
MO.1,240000,5.380211242,20200902
MO.1,68000,4.832508913,20200902
MO.1,32000,4.505149978,20200902
MO.1,24000,4.380211242,20200902
MO.1,18000,4.255272505,20200902
MO.1,16000,4.204119983,20200902
MO.1,14000,4.146128036,20200902
MO.1,6600,3.819543936,20200902
MO.1,6000,3.77815125,20200902
MO.1,6000,3.77815125,20200902
MO.1,5200,3.716003344,20200902
MO.1,2600,3.414973348,20200902
MO.1,100000,5,20111101
MO.1,48000,4.681241237,20111101
MO.1,38000,4.579783597,20111101
MO.1,30000,4.477121255,20111101
MO.1,30000,4.477121255,20111101
MO.1,30000,4.477121255,20111101
MO.1,10000,4,20111101
MO.1,5200,3.716003344,20111101
MO.1,4600,3.662757832,20111101
MO.1,3600,3.556302501,20111101
MO.1,2400,3.380211242,20111101
MO.1,640,2.806179974,20111101
MO.2,520000,5.716003344,20210119
MO.2,480000,5.681241237,20210119
MO.2,440000,5.643452676,20210119
MO.2,400000,5.602059991,20210119
MO.2,380000,5.579783597,20210119
MO.2,340000,5.531478917,20210119
MO.2,260000,5.414973348,20210119
MO.2,180000,5.255272505,20210119
MO.2,160000,5.204119983,20210119
MO.2,160000,5.204119983,20210119
